role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup
Assistant director of football analytics,assistant director of football analytics,Analytics & Research,Analytics/Research,,
Assistant for research and development,assistant for research and development,Analytics & Research,Analytics/Research,,
Assistant sports science/analytics,assistant sports science/analytics,Analytics & Research,Analytics/Research,,
Coaching analyst,coaching analyst,Analytics & Research,Analytics/Research,,
Coaching operations manager/football analytics,coaching operations manager/football analytics,Analytics & Research,Analytics/Research,,
Conditioning & performance analyst,conditioning & performance analyst,Analytics & Research,Analytics/Research,,
Contract Administrator/Football Analyst,contract administrator/football analyst,Analytics & Research,Analytics/Research,,
"Coordinator, football research and development","coordinator, football research and development",Analytics & Research,Analytics/Research,,
Defensive analyst,defensive analyst,Analytics & Research,Analytics/Research,,
Defensive football analyst,defensive football analyst,Analytics & Research,Analytics/Research,,
Director of analytics,director of analytics,Analytics & Research,Analytics/Research,,
Director of Analytics,director of analytics,Analytics & Research,Analytics/Research,,
Director of coaching analytics,director of coaching analytics,Analytics & Research,Analytics/Research,,
Director of football analytics,director of football analytics,Analytics & Research,Analytics/Research,,
Director of Football Analytics,director of football analytics,Analytics & Research,Analytics/Research,,
Director of football research,director of football research,Analytics & Research,Analytics/Research,,
Director of performance analytics,director of performance analytics,Analytics & Research,Analytics/Research,,
"Director of player evaluation, research & analysis","director of player evaluation, research & analysis",Analytics & Research,Analytics/Research,,
Director of research,director of research,Analytics & Research,Analytics/Research,,
Director of Research,director of research,Analytics & Research,Analytics/Research,,
Director of research and analysis,director of research and analysis,Analytics & Research,Analytics/Research,,
Director of Research and Development,director of research and development,Analytics & Research,Analytics/Research,,
Director of research and development,director of research and development,Analytics & Research,Analytics/Research,,
"Director, analytics","director, analytics",Analytics & Research,Analytics/Research,,
"Director, football analytics","director, football analytics",Analytics & Research,Analytics/Research,,
"Director, football research and development","director, football research and development",Analytics & Research,Analytics/Research,,
Football analyst,football analyst,Analytics & Research,Analytics/Research,,
Football operations analyst,football operations analyst,Analytics & Research,Analytics/Research,,
Football research analyst,football research analyst,Analytics & Research,Analytics/Research,,
Football research director,football research director,Analytics & Research,Analytics/Research,,
"Manager, football analytics","manager, football analytics",Analytics & Research,Analytics/Research,,
Offense research,offense research,Analytics & Research,Analytics/Research,,
Offense–research,offense-research,Analytics & Research,Analytics/Research,,
Offensive analyst,offensive analyst,Analytics & Research,Analytics/Research,,
Offensive football analyst,offensive football analyst,Analytics & Research,Analytics/Research,,
Pass game analyst,pass game analyst,Analytics & Research,Analytics/Research,,
Passing game analyst,passing game analyst,Analytics & Research,Analytics/Research,,
Performance analyst,performance analyst,Analytics & Research,Analytics/Research,,
Performance Analyst,performance analyst,Analytics & Research,Analytics/Research,,
Research and analysis/coaching,research and analysis/coaching,Analytics & Research,Analytics/Research,,
Research and Development,research and development,Analytics & Research,Analytics/Research,,
Salary cap & contract analyst,salary cap & contract analyst,Analytics & Research,Analytics/Research,,
Senior analyst,senior analyst,Analytics & Research,Analytics/Research,,
Senior Analyst,senior analyst,Analytics & Research,Analytics/Research,,
Senior defensive analyst,senior defensive analyst,Analytics & Research,Analytics/Research,,
Senior Director of Football Research and Game Management,senior director of football research and game management,Analytics & Research,Analytics/Research,,
Senior football analyst,senior football analyst,Analytics & Research,Analytics/Research,,
Senior offensive analyst,senior offensive analyst,Analytics & Research,Analytics/Research,,
Senior vice president of football analytics,senior vice president of football analytics,Analytics & Research,Analytics/Research,,
Sports science analyst,sports science analyst,Analytics & Research,Analytics/Research,,
Statistical analysis coordinator,statistical analysis coordinator,Analytics & Research,Analytics/Research,,
Vice president of football analytics,vice president of football analytics,Analytics & Research,Analytics/Research,,
Video/analytics,video/analytics,Analytics & Research,Analytics/Research,,
VP of Football Analytics,vp of football analytics,Analytics & Research,Analytics/Research,,
Director of football development,director of football development,Analytics & Research,Football Information/Development,,
Director of Football Development,director of football development,Analytics & Research,Football Information/Development,,
Director of football development/Assistant performance coach,director of football development/assistant performance coach,Analytics & Research,Football Information/Development,,
Director of football information,director of football information,Analytics & Research,Football Information/Development,,
Executive assistant/football information manager,executive assistant/football information manager,Analytics & Research,Football Information/Development,,
Senior director of football information,senior director of football information,Analytics & Research,Football Information/Development,,
Game management,game management,Analytics & Research,Game Management,,
Game management coordinator,game management coordinator,Analytics & Research,Game Management,,
Senior offensive advisor/game management,senior offensive advisor/game management,Analytics & Research,Game Management,,
Assistant strength and conditioning/skill development,assistant strength and conditioning/skill development,Analytics & Research,Skill Development,,
Assistant strength/skill development,assistant strength/skill development,Analytics & Research,Skill Development,,
Director of skill development,director of skill development,Analytics & Research,Skill Development,,
Kick & punt returners / Skill development,kick & punt returners / skill development,Analytics & Research,Skill Development,,
Strength assistant/skill development coach,strength assistant/skill development coach,Analytics & Research,Skill Development,,
Assistant Director of Special Projects and Game Management,assistant director of special projects and game management,Analytics & Research,Special Projects,,
Defensive analyst (advance/special projects),defensive analyst (advance/special projects),Analytics & Research,Special Projects,,
Defensive/special projects,defensive/special projects,Analytics & Research,Special Projects,,
Offensive analyst/special projects,offensive analyst/special projects,Analytics & Research,Special Projects,,
Offensive special projects,offensive special projects,Analytics & Research,Special Projects,,
Senior assistant/special projects,senior assistant/special projects,Analytics & Research,Special Projects,,
Special assignments,special assignments,Analytics & Research,Special Projects,,
Special assignments coach,special assignments coach,Analytics & Research,Special Projects,,
Special Projects,special projects,Analytics & Research,Special Projects,,
Special projects,special projects,Analytics & Research,Special Projects,,
Special projects & situations,special projects & situations,Analytics & Research,Special Projects,,
Special projects and situations,special projects and situations,Analytics & Research,Special Projects,,
Special projects/defense,special projects/defense,Analytics & Research,Special Projects,,
Special projects/spread game analysts,special projects/spread game analysts,Analytics & Research,Special Projects,,
Special tams assistant/special projects,special tams assistant/special projects,Analytics & Research,Special Projects,,
Vice President of Special Projects,vice president of special projects,Analytics & Research,Special Projects,,
Vice president of football research,vice president of football research,Analytics & Research,VP Research,,
Vice president of research and development,vice president of research and development,Analytics & Research,VP Research,,
"VP, football research and development","vp, football research and development",Analytics & Research,VP Research,,
Co–defensive coordinator,co-defensive coordinator,Coordinator,Defensive Coordinator,,
Co–defensive coordinator/defensive line,co-defensive coordinator/defensive line,Coordinator,Defensive Coordinator,,
