role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup
Run game coordinator/outside linebackers,run game coordinator/outside linebackers,Coordinator,Defensive Run Game Coordinator,,
Co–offensive coordinator,co-offensive coordinator,Coordinator,Offensive Coordinator,,
Co–offensive coordinator/running backs,co-offensive coordinator/running backs,Coordinator,Offensive Coordinator,,
Co–offensive coordinator/tight ends,co-offensive coordinator/tight ends,Coordinator,Offensive Coordinator,,
Interim head coach/offensive coordinator,interim head coach/offensive coordinator,Coordinator,Offensive Coordinator,,
Interim Head coach/offensive coordinator,interim head coach/offensive coordinator,Coordinator,Offensive Coordinator,,
Interim offensive coordinator,interim offensive coordinator,Coordinator,Offensive Coordinator,,
Interim offensive coordinator and Offensive Line,interim offensive coordinator and offensive line,Coordinator,Offensive Coordinator,,
Interim Offensive coordinator and Tight Ends,interim offensive coordinator and tight ends,Coordinator,Offensive Coordinator,,
Offensive coordinator,offensive coordinator,Coordinator,Offensive Coordinator,,
Offensive Coordinator,offensive coordinator,Coordinator,Offensive Coordinator,,
Offensive Coordinator (through week 8),offensive coordinator (through week 8),Coordinator,Offensive Coordinator,,
Offensive Coordinator (weeks 9–17)/tight ends,offensive coordinator (weeks 9-17)/tight ends,Coordinator,Offensive Coordinator,,
Offensive coordinator / offensive line,offensive coordinator / offensive line,Coordinator,Offensive Coordinator,,
Offensive coordinator / quarterbacks,offensive coordinator / quarterbacks,Coordinator,Offensive Coordinator,,
Offensive coordinator/offensive line,offensive coordinator/offensive line,Coordinator,Offensive Coordinator,,
Offensive coordinator/Offensive Line,offensive coordinator/offensive line,Coordinator,Offensive Coordinator,,
Offensive Coordinator/Offensive Line,offensive coordinator/offensive line,Coordinator,Offensive Coordinator,,
Offensive coordinator/quarterbacks,offensive coordinator/quarterbacks,Coordinator,Offensive Coordinator,,
Offensive coordinator/Quarterbacks,offensive coordinator/quarterbacks,Coordinator,Offensive Coordinator,,
Offensive Coordinator/Quarterbacks,offensive coordinator/quarterbacks,Coordinator,Offensive Coordinator,,
Offensive Coordinator/Quarterbacks/Receivers,offensive coordinator/quarterbacks/receivers,Coordinator,Offensive Coordinator,,
Offensive coordinator/Quarterbacks/Wide Receivers,offensive coordinator/quarterbacks/wide receivers,Coordinator,Offensive Coordinator,,
Offensive coordinator/receivers,offensive coordinator/receivers,Coordinator,Offensive Coordinator,,
Offensive coordinator/receivers coach,offensive coordinator/receivers coach,Coordinator,Offensive Coordinator,,
Offensive coordinator/running backs,offensive coordinator/running backs,Coordinator,Offensive Coordinator,,
Offensive coordinator/Running Backs,offensive coordinator/running backs,Coordinator,Offensive Coordinator,,
Offensive Coordinator/Tight Ends,offensive coordinator/tight ends,Coordinator,Offensive Coordinator,,
Offensive coordinator/tight ends,offensive coordinator/tight ends,Coordinator,Offensive Coordinator,,
Offensive Coordinator/Wide Receivers,offensive coordinator/wide receivers,Coordinator,Offensive Coordinator,,
Offensive coordinator/wide receivers,offensive coordinator/wide receivers,Coordinator,Offensive Coordinator,,
Offensive coordinator/wide receivers and quarterbacks,offensive coordinator/wide receivers and quarterbacks,Coordinator,Offensive Coordinator,,
Senior offensive coordinator,senior offensive coordinator,Coordinator,Offensive Coordinator,,
Co–pass game coordinator,co-pass game coordinator,Coordinator,Offensive Passing Game Coordinator,,
Co–pass game coordinator/quarterbacks,co-pass game coordinator/quarterbacks,Coordinator,Offensive Passing Game Coordinator,,
Cornerbacks/passing game coordinator,cornerbacks/passing game coordinator,Coordinator,Offensive Passing Game Coordinator,,
Offensive pass game coordinator/quarterbacks,offensive pass game coordinator/quarterbacks,Coordinator,Offensive Passing Game Coordinator,,
Offensive passing game coordinator,offensive passing game coordinator,Coordinator,Offensive Passing Game Coordinator,,
Offensive passing game coordinator/wide receivers,offensive passing game coordinator/wide receivers,Coordinator,Offensive Passing Game Coordinator,,
Pass game coordinator,pass game coordinator,Coordinator,Offensive Passing Game Coordinator,,
Pass game coordinator/quarterbacks,pass game coordinator/quarterbacks,Coordinator,Offensive Passing Game Coordinator,,
Pass game coordinator/tight ends,pass game coordinator/tight ends,Coordinator,Offensive Passing Game Coordinator,,
Pass game coordinator/wide receivers,pass game coordinator/wide receivers,Coordinator,Offensive Passing Game Coordinator,,
Passing game coordinator,passing game coordinator,Coordinator,Offensive Passing Game Coordinator,,
Passing Game Coordinator,passing game coordinator,Coordinator,Offensive Passing Game Coordinator,,
Passing game coordinator/cornerbacks,passing game coordinator/cornerbacks,Coordinator,Offensive Passing Game Coordinator,,
Passing game coordinator/quarterbacks,passing game coordinator/quarterbacks,Coordinator,Offensive Passing Game Coordinator,,
Passing game coordinator/tight ends,passing game coordinator/tight ends,Coordinator,Offensive Passing Game Coordinator,,
Passing game coordinator/wide receivers,passing game coordinator/wide receivers,Coordinator,Offensive Passing Game Coordinator,,
Passing Game Coordinator/Wide Receivers,passing game coordinator/wide receivers,Coordinator,Offensive Passing Game Coordinator,,
Quarterbacks & passing game coordinator,quarterbacks & passing game coordinator,Coordinator,Offensive Passing Game Coordinator,,
Quarterbacks/pass game coordinator,quarterbacks/pass game coordinator,Coordinator,Offensive Passing Game Coordinator,,
Quarterbacks/Passing Game Coordinator,quarterbacks/passing game coordinator,Coordinator,Offensive Passing Game Coordinator,,
Quarterbacks/passing game coordinator,quarterbacks/passing game coordinator,Coordinator,Offensive Passing Game Coordinator,,
