role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup,side_of_ball
Kick & punt returners / Skill development,kick & punt returners / skill development,Analytics & Research,Skill Development,,,N/A
Strength assistant/skill development coach,strength assistant/skill development coach,Analytics & Research,Skill Development,,,N/A
Assistant Director of Special Projects and Game Management,assistant director of special projects and game management,Analytics & Research,Special Projects,,,N/A
Defensive analyst (advance/special projects),defensive analyst (advance/special projects),Analytics & Research,Special Projects,,,N/A
Defensive/special projects,defensive/special projects,Analytics & Research,Special Projects,,,N/A
Offensive analyst/special projects,offensive analyst/special projects,Analytics & Research,Special Projects,,,N/A
Offensive special projects,offensive special projects,Analytics & Research,Special Projects,,,N/A
Senior assistant/special projects,senior assistant/special projects,Analytics & Research,Special Projects,,,N/A
Special assignments,special assignments,Analytics & Research,Special Projects,,,N/A
Special assignments coach,special assignments coach,Analytics & Research,Special Projects,,,N/A
Special Projects,special projects,Analytics & Research,Special Projects,,,N/A
Special projects,special projects,Analytics & Research,Special Projects,,,N/A
Special projects & situations,special projects & situations,Analytics & Research,Special Projects,,,N/A
Special projects and situations,special projects and situations,Analytics & Research,Special Projects,,,N/A
Special projects/defense,special projects/defense,Analytics & Research,Special Projects,,,N/A
Special projects/spread game analysts,special projects/spread game analysts,Analytics & Research,Special Projects,,,N/A
Special tams assistant/special projects,special tams assistant/special projects,Analytics & Research,Special Projects,,,N/A
Vice President of Special Projects,vice president of special projects,Analytics & Research,Special Projects,,,N/A
Chief football strategy officer,chief football strategy officer,Analytics & Research,Strategy,,,N/A
Chief Football Strategy Officer,chief football strategy officer,Analytics & Research,Strategy,,,N/A
Chief strategy officer,chief strategy officer,Analytics & Research,Strategy,,,N/A
Senior vice president of football strategy,senior vice president of football strategy,Analytics & Research,Strategy,,,N/A
Senior vice president/chief strategy officer,senior vice president/chief strategy officer,Analytics & Research,Strategy,,,N/A
Vice president of football research,vice president of football research,Analytics & Research,VP Research,,,N/A
Vice president of research and development,vice president of research and development,Analytics & Research,VP Research,,,N/A
Vice president of research and strategy,vice president of research and strategy,Analytics & Research,VP Research,,,N/A
Vice President of research and strategy,vice president of research and strategy,Analytics & Research,VP Research,,,N/A
"VP, football research and development","vp, football research and development",Analytics & Research,VP Research,,,N/A
Assistant head coach,assistant head coach,Assistant Head Coach,Assistant Head Coach,,,Both
Assistant Head Coach,assistant head coach,Assistant Head Coach,Assistant Head Coach,,,Both
Associate head coach,assistant head coach,Assistant Head Coach,Assistant Head Coach,,,Both
Assistant head coach/defense (Interim Defensive Coordinator),assistant head coach/defense (interim defensive coordinator),Assistant Head Coach,Assistant Head Coach,,,Both
Assistant head coach/football operations,assistant head coach/football operations,Assistant Head Coach,Assistant Head Coach,,,Both
Assistant head coach/interim defensive coordinator/inside linebackers,assistant head coach/interim defensive coordinator/inside linebackers,Assistant Head Coach,Assistant Head Coach,,,Both
Assistant head coach/interim defensive coordinator/linebackers,assistant head coach/interim defensive coordinator/linebackers,Assistant Head Coach,Assistant Head Coach,,,Both
Assistant head coach/interim offensive coordinator,assistant head coach/interim offensive coordinator,Assistant Head Coach,Assistant Head Coach,,,Both
Associate head coach/interim offensive coordinator/running backs,assistant head coach/interim offensive coordinator/running backs,Assistant Head Coach,Assistant Head Coach,,,Both
Assistant head coach/running game,assistant head coach/running game,Assistant Head Coach,Assistant Head Coach,,,Both
Assistant head coach/strength and conditioning,assistant head coach/strength and conditioning,Assistant Head Coach,Assistant Head Coach,,,Both
Assistant head coach/tight ends/ interim offensive line,assistant head coach/tight ends/ interim offensive line,Assistant Head Coach,Assistant Head Coach,,,Both
Interim head coach (games 7–16)/assistant head coach/linebackers,interim head coach (games 7-16)/assistant head coach/linebackers,Assistant Head Coach,Assistant Head Coach,,,Both
Interim head coach/associate head coach,interim head coach/assistant head coach,Assistant Head Coach,Assistant Head Coach,,,Both
Interim head coach/assistant head coach/offensive line,interim head coach/assistant head coach/offensive line,Assistant Head Coach,Assistant Head Coach,,,Both
Assistant head coach–defense,assistant head coach-defense,Assistant Head Coach,Assistant Head Coach - Defense,,,Defense
Assistant Head Coach–Defense/Linebackers (Interim Head Coach),assistant head coach-defense/linebackers (interim head coach),Assistant Head Coach,Assistant Head Coach - Defense,,,Defense
Assistant head coach/defense,assistant head coach/defense,Assistant Head Coach,Assistant Head Coach - Defense,,,Defense
Assistant Head Coach/Defense,assistant head coach/defense,Assistant Head Coach,Assistant Head Coach - Defense,,,Defense
Associate head coach/defense,assistant head coach/defense,Assistant Head Coach,Assistant Head Coach - Defense,,,Defense
Assistant head coach/defense line,assistant head coach/defense line,Assistant Head Coach,Assistant Head Coach - Defense,,,Defense
Assistant head coach/defensive,assistant head coach/defensive,Assistant Head Coach,Assistant Head Coach - Defense,,,Defense
Assistant head coachdefense,assistant head coachdefense,Assistant Head Coach,Assistant Head Coach - Defense,,,Defense
Associate head coach–offense,assistant head coach-offense,Assistant Head Coach,Assistant Head Coach - Offense,,,Offense
Assistant head coach–offense,assistant head coach-offense,Assistant Head Coach,Assistant Head Coach - Offense,,,Offense
