role_original,role_cleaned,role_category,role_subcategory,position_group,position_subgroup,side_of_ball
Offensive analyst,offensive analyst,Analytics & Research,Analytics/Research,,,N/A
Offensive football analyst,offensive football analyst,Analytics & Research,Analytics/Research,,,N/A
Pass game analyst,pass game analyst,Analytics & Research,Analytics/Research,,,N/A
Performance analyst,performance analyst,Analytics & Research,Analytics/Research,,,N/A
Performance Analyst,performance analyst,Analytics & Research,Analytics/Research,,,N/A
Research and analysis/coaching,research and analysis/coaching,Analytics & Research,Analytics/Research,,,N/A
Research and Development,research and development,Analytics & Research,Analytics/Research,,,N/A
Salary cap & contract analyst,salary cap & contract analyst,Analytics & Research,Analytics/Research,,,N/A
Senior analyst,senior analyst,Analytics & Research,Analytics/Research,,,N/A
Senior Analyst,senior analyst,Analytics & Research,Analytics/Research,,,N/A
Senior defensive analyst,senior defensive analyst,Analytics & Research,Analytics/Research,,,N/A
Senior director of football analytics and strategy,senior director of football analytics and strategy,Analytics & Research,Analytics/Research,,,N/A
Senior Director of Football Research and Game Management,senior director of football research and game management,Analytics & Research,Analytics/Research,,,N/A
Senior Director of Football Technology & Research,senior director of football technology & research,Analytics & Research,Analytics/Research,,,N/A
Senior football analyst,senior football analyst,Analytics & Research,Analytics/Research,,,N/A
Senior offensive analyst,senior offensive analyst,Analytics & Research,Analytics/Research,,,N/A
Senior vice president of football analytics,senior vice president of football analytics,Analytics & Research,Analytics/Research,,,N/A
"Senior Vice President, Football Technology & Analytics","senior vice president, football technology & analytics",Analytics & Research,Analytics/Research,,,N/A
Sports science analyst,sports science analyst,Analytics & Research,Analytics/Research,,,N/A
Statistical analysis coordinator,statistical analysis coordinator,Analytics & Research,Analytics/Research,,,N/A
Vice president of football analytics,vice president of football analytics,Analytics & Research,Analytics/Research,,,N/A
Video/analytics,video/analytics,Analytics & Research,Analytics/Research,,,N/A
VP of Football Analytics,vp of football analytics,Analytics & Research,Analytics/Research,,,N/A
Director of football development,director of football development,Analytics & Research,Football Information/Development,,,N/A
Director of Football Development,director of football development,Analytics & Research,Football Information/Development,,,N/A
Director of football development/Assistant performance coach,director of football development/assistant performance coach,Analytics & Research,Football Information/Development,,,N/A
Director of football information,director of football information,Analytics & Research,Football Information/Development,,,N/A
Director of football information systems,director of football information systems,Analytics & Research,Football Information/Development,,,N/A
Director of football systems,director of football systems,Analytics & Research,Football Information/Development,,,N/A
Executive assistant/football information manager,executive assistant/football information manager,Analytics & Research,Football Information/Development,,,N/A
Head of football development and strategy,head of football development and strategy,Analytics & Research,Football Information/Development,,,N/A
Senior director of football information,senior director of football information,Analytics & Research,Football Information/Development,,,N/A
Assistant director of football strategy,assistant director of football strategy,Analytics & Research,Football Strategy/Transactions,,,N/A
Director of football strategy,director of football strategy,Analytics & Research,Football Strategy/Transactions,,,N/A
"Director, football strategy","director, football strategy",Analytics & Research,Football Strategy/Transactions,,,N/A
Senior director of football strategy,senior director of football strategy,Analytics & Research,Football Strategy/Transactions,,,N/A
Senior director of football transactions,senior director of football transactions,Analytics & Research,Football Strategy/Transactions,,,N/A
Vice president of football transactions and Strategic Planning,vice president of football transactions and strategic planning,Analytics & Research,Football Strategy/Transactions,,,N/A
"Director, Game Management and Strategic Initiatives","director, game management and strategic initiatives",Analytics & Research,Game Management,,,N/A
Game management,game management,Analytics & Research,Game Management,,,N/A
Game management coordinator,game management coordinator,Analytics & Research,Game Management,,,N/A
Senior director of football strategy and game management,senior director of football strategy and game management,Analytics & Research,Game Management,,,N/A
Senior offensive advisor/game management,senior offensive advisor/game management,Analytics & Research,Game Management,,,N/A
Special teams assistant/game management coordinator,special teams assistant/game management coordinator,Analytics & Research,Game Management,,,N/A
Assistant strength and conditioning/skill development,assistant strength and conditioning/skill development,Analytics & Research,Skill Development,,,N/A
Assistant strength/skill development,assistant strength/skill development,Analytics & Research,Skill Development,,,N/A
Director of skill development,director of skill development,Analytics & Research,Skill Development,,,N/A
